race;interval;id;Rank;Bib;LastName;FirstName;Team;Nation;YOB;Sex;AgeClass;AcRank;NetTime;GunTime;Age;NetMins;GunMins
21k;complete;NA;1;32;NA;NA;"NA";"KEN";1992;M;MJA;1;"01:00:38";"01:00:38";19;60.6333;60.6333
21k;10K;NA;NA;32;NA;NA;"NA";"KEN";1992;M;MJA;NA;"00:28:49";"NA";19;28.8167;NA
21k;complete;NA;2;10;NA;NA;"Kenia";"KEN";1985;M;MH;1;"01:00:52";"01:00:52";26;60.8667;60.8667
21k;10K;NA;NA;10;NA;NA;"Kenia";"KEN";1985;M;MH;NA;"00:28:49";"NA";26;28.8167;NA
21k;complete;NA;3;12;NA;NA;"Kenia";"KEN";1985;M;MH;2;"01:00:56";"01:00:56";26;60.9333;60.9333
21k;10K;NA;NA;12;NA;NA;"Kenia";"KEN";1985;M;MH;NA;"00:28:48";"NA";26;28.8;NA
21k;complete;NA;4;17;NA;NA;"Kenia";"KEN";1982;M;MH;3;"01:01:11";"01:01:11";29;61.1833;61.1833
21k;10K;NA;NA;17;NA;NA;"Kenia";"KEN";1982;M;MH;NA;"00:28:49";"NA";29;28.8167;NA
21k;complete;NA;5;2;NA;NA;"Kenia";"KEN";1981;M;M30;1;"01:01:16";"01:01:16";30;61.2667;61.2667
21k;10K;NA;NA;2;NA;NA;"Kenia";"KEN";1981;M;M30;NA;"00:28:48";"NA";30;28.8;NA
21k;complete;NA;6;7;NA;NA;"Äthiopien";"ETH";1985;M;MH;4;"01:01:33";"01:01:33";26;61.55;61.55
21k;10K;NA;NA;7;NA;NA;"Äthiopien";"ETH";1985;M;MH;NA;"00:28:49";"NA";26;28.8167;NA
21k;complete;NA;7;11;NA;NA;"Kenia";"KEN";1987;M;MH;5;"01:01:53";"01:01:53";24;61.8833;61.8833
21k;10K;NA;NA;11;NA;NA;"Kenia";"KEN";1987;M;MH;NA;"00:28:50";"NA";24;28.8333;NA
21k;complete;NA;8;36;NA;NA;"NA";"KEN";0;M;MH;6;"01:02:01";"01:02:01";2011;62.0167;62.0167
21k;10K;NA;NA;36;NA;NA;"NA";"KEN";0;M;MH;NA;"00:28:48";"NA";2011;28.8;NA
21k;complete;NA;9;6;NA;NA;"Kenia";"KEN";1979;M;M30;2;"01:02:31";"01:02:31";32;62.5167;62.5167
21k;10K;NA;NA;6;NA;NA;"Kenia";"KEN";1979;M;M30;NA;"00:28:49";"NA";32;28.8167;NA
21k;complete;NA;10;41;NA;NA;"NA";"KEN";0;M;MH;7;"01:02:47";"01:02:47";2011;62.7833;62.7833
21k;10K;NA;NA;41;NA;NA;"NA";"KEN";0;M;MH;NA;"00:28:48";"NA";2011;28.8;NA
21k;complete;NA;11;37;NA;NA;"NA";"KEN";0;M;MH;8;"01:03:01";"01:03:01";2011;63.0167;63.0167
21k;10K;NA;NA;37;NA;NA;"NA";"KEN";0;M;MH;NA;"00:28:50";"NA";2011;28.8333;NA
21k;complete;NA;12;30;NA;NA;"NA";"KEN";0;M;MH;9;"01:03:15";"01:03:15";2011;63.25;63.25
21k;10K;NA;NA;30;NA;NA;"NA";"KEN";0;M;MH;NA;"00:28:50";"NA";2011;28.8333;NA
21k;complete;NA;13;3;NA;NA;"Kenia";"KEN";1990;M;MH;10;"01:03:25";"01:03:25";21;63.4167;63.4167
21k;10K;NA;NA;3;NA;NA;"Kenia";"KEN";1990;M;MH;NA;"00:28:50";"NA";21;28.8333;NA
21k;complete;NA;14;4;NA;NA;"Äthiopien";"ETH";1984;M;MH;11;"01:03:31";"01:03:31";27;63.5167;63.5167
21k;10K;NA;NA;4;NA;NA;"Äthiopien";"ETH";1984;M;MH;NA;"00:28:49";"NA";27;28.8167;NA
21k;complete;NA;15;8;NA;NA;"Kenia";"KEN";1975;M;M35;1;"01:03:58";"01:03:58";36;63.9667;63.9667
21k;10K;NA;NA;8;NA;NA;"Kenia";"KEN";1975;M;M35;NA;"00:29:26";"NA";36;29.4333;NA
21k;complete;NA;16;33;NA;NA;"Norwegen";"NOR";0;M;MH;12;"01:04:05";"01:04:05";2011;64.0833;64.0833
21k;10K;NA;NA;33;NA;NA;"Norwegen";"NOR";0;M;MH;NA;"00:29:44";"NA";2011;29.7333;NA
21k;complete;NA;17;14;NA;NA;"USA";"USA";0;M;MH;13;"01:04:31";"01:04:31";2011;64.5167;64.5167
21k;10K;NA;NA;14;NA;NA;"USA";"USA";0;M;MH;NA;"00:29:44";"NA";2011;29.7333;NA
21k;complete;NA;18;38;NA;NA;"NA";"ETH";1988;M;MH;14;"01:04:42";"01:04:42";23;64.7;64.7
21k;10K;NA;NA;38;NA;NA;"NA";"ETH";1988;M;MH;NA;"00:30:24";"NA";23;30.4;NA
21k;complete;NA;19;50;NA;NA;"NA";"ETH";0;M;MH;15;"01:04:48";"01:04:48";2011;64.8;64.8
21k;10K;NA;NA;50;NA;NA;"NA";"ETH";0;M;MH;NA;"00:29:45";"NA";2011;29.75;NA
21k;complete;NA;20;15;NA;NA;"LG Braunschweig";"DEU";1984;M;MH;16;"01:04:50";"01:04:50";27;64.8333;64.8333
21k;10K;NA;NA;15;NA;NA;"LG Braunschweig";"DEU";1984;M;MH;NA;"00:30:43";"NA";27;30.7167;NA
21k;complete;NA;21;24;NA;NA;"NA";"DEU";1989;M;MH;17;"01:05:04";"01:05:04";22;65.0667;65.0667
21k;10K;NA;NA;24;NA;NA;"NA";"DEU";1989;M;MH;NA;"00:30:43";"NA";22;30.7167;NA
21k;complete;NA;22;5;NA;NA;"Kenia";"KEN";1990;M;MH;18;"01:05:13";"01:05:13";21;65.2167;65.2167
21k;10K;NA;NA;5;NA;NA;"Kenia";"KEN";1990;M;MH;NA;"00:29:27";"NA";21;29.45;NA
21k;complete;NA;23;16;NA;NA;"Tschechien";"CZE";1984;M;MH;19;"01:06:41";"01:06:41";27;66.6833;66.6833
21k;10K;NA;NA;16;NA;NA;"Tschechien";"CZE";1984;M;MH;NA;"00:30:24";"NA";27;30.4;NA
21k;complete;NA;24;22;NA;NA;"NA";"DEU";1982;M;MH;20;"01:07:14";"01:07:14";29;67.2333;67.2333
21k;10K;NA;NA;22;NA;NA;"NA";"DEU";1982;M;MH;NA;"00:31:24";"NA";29;31.4;NA
21k;complete;NA;25;19;NA;NA;"LG Leinfelden-Echterdinge";"DEU";1977;M;M30;3;"01:07:19";"01:07:19";34;67.3167;67.3167
21k;10K;NA;NA;19;NA;NA;"LG Leinfelden-Echterdinge";"DEU";1977;M;M30;NA;"00:30:56";"NA";34;30.9333;NA
21k;complete;NA;26;18;NA;NA;"TV Länggasse Bern";"ERI";0;M;MH;21;"01:07:20";"01:07:20";2011;67.3333;67.3333
21k;10K;NA;NA;18;NA;NA;"TV Länggasse Bern";"ERI";0;M;MH;NA;"00:30:42";"NA";2011;30.7;NA
21k;complete;NA;27;23;NA;NA;"NA";"DEU";1984;M;MH;22;"01:07:33";"01:07:33";27;67.55;67.55
21k;10K;NA;NA;23;NA;NA;"NA";"DEU";1984;M;MH;NA;"00:31:07";"NA";27;31.1167;NA
21k;complete;NA;28;26;NA;NA;"TV Längasse Bern";"CHE";0;M;MH;23;"01:09:26";"01:09:26";2011;69.4333;69.4333
21k;10K;NA;NA;26;NA;NA;"TV Längasse Bern";"CHE";0;M;MH;NA;"00:32:32";"NA";2011;32.5333;NA
21k;complete;NA;29;4668;NA;NA;"Fredrikshofs FIF";"DNK";1976;M;M35;2;"01:09:36";"01:09:39";35;69.6;69.65
21k;10K;NA;NA;4668;NA;NA;"Fredrikshofs FIF";"DNK";1976;M;M35;NA;"00:32:29";"NA";35;32.4833;NA
21k;complete;NA;30;F16;NA;NA;"NA";"KEN";0;W;WH;1;"01:10:12";"01:10:12";2011;70.2;70.2
21k;10K;NA;NA;F16;NA;NA;"NA";"KEN";0;W;WH;NA;"00:32:33";"NA";2011;32.55;NA
21k;complete;NA;31;34;NA;NA;"Österreich";"AUT";1988;M;MH;24;"01:10:27";"01:10:27";23;70.45;70.45
21k;10K;NA;NA;34;NA;NA;"Österreich";"AUT";1988;M;MH;NA;"00:31:08";"NA";23;31.1333;NA
21k;complete;NA;32;8847;NA;NA;"Løberen\/adidas";"DNK";1975;M;M35;3;"01:10:29";"01:10:33";36;70.4833;70.55
21k;10K;NA;NA;8847;NA;NA;"Løberen\/adidas";"DNK";1975;M;M35;NA;"00:32:51";"NA";36;32.85;NA
21k;complete;NA;33;12527;NA;NA;"Aarhus 1900";"DNK";1983;M;MH;25;"01:10:32";"01:10:34";28;70.5333;70.5667
21k;10K;NA;NA;12527;NA;NA;"Aarhus 1900";"DNK";1983;M;MH;NA;"00:32:54";"NA";28;32.9;NA
21k;complete;NA;34;9124;NA;NA;"Sparta\/Marathon Sport\/Adidas";"DNK";1978;M;M30;4;"01:10:45";"01:10:47";33;70.75;70.7833
21k;10K;NA;NA;9124;NA;NA;"Sparta\/Marathon Sport\/Adidas";"DNK";1978;M;M30;NA;"00:32:54";"NA";33;32.9;NA
21k;complete;NA;35;7158;NA;NA;"SK Vidar";"NOR";1984;M;MH;26;"01:10:49";"01:10:52";27;70.8167;70.8667
21k;10K;NA;NA;7158;NA;NA;"SK Vidar";"NOR";1984;M;MH;NA;"00:32:35";"NA";27;32.5833;NA
21k;complete;NA;36;10430;NA;NA;"LAC Berlin";"DEU";1984;M;MH;27;"01:10:58";"01:11:00";27;70.9667;71
21k;10K;NA;NA;10430;NA;NA;"LAC Berlin";"DEU";1984;M;MH;NA;"00:32:35";"NA";27;32.5833;NA
21k;complete;NA;37;7366;NA;NA;"Team Craft";"ISL";1986;M;MH;28;"01:11:08";"01:11:10";25;71.1333;71.1667
21k;10K;NA;NA;7366;NA;NA;"Team Craft";"ISL";1986;M;MH;NA;"00:32:35";"NA";25;32.5833;NA
21k;complete;NA;38;10113;NA;NA;"NA";"DEU";1976;M;M35;4;"01:11:27";"01:11:30";35;71.45;71.5
