race;interval;id;Rank;Bib;LastName;FirstName;Team;Nation;YOB;Sex;AgeClass;AcRank;NetTime;GunTime;Age;NetMins;GunMins
21k;complete;NA;2230;5404;NA;NA;"Achims Laufgruppe";"GER";1971;M;40;323;"01:37:41";"01:43:50";43;97.6833;103.8333
21k;complete;NA;2851;9928;NA;NA;"NA";"DEN";1971;M;40;406;"01:39:59";"01:44:12";43;99.9833;104.2
21k;complete;NA;9779;9955;NA;NA;"Tobende Körper";"GER";1972;M;40;1188;"01:57:37";"02:04:36";42;117.6167;124.6
21k;complete;NA;3376;19618;NA;NA;"NA";"AUT";1971;M;40;483;"01:41:55";"01:47:07";43;101.9167;107.1167
21k;complete;NA;2403;8573;NA;NA;"Rsc Liestal";"SUI";1972;M;40;343;"01:38:22";"01:40:51";42;98.3667;100.85
21k;complete;NA;6309;21046;NA;NA;"Luftwaffe";"GER";1972;M;40;837;"01:49:57";"01:54:00";42;109.95;114
21k;complete;NA;10966;11662;NA;NA;"Lg Mattstedt";"GER";1970;M;40;1304;"01:59:53";"02:05:31";44;119.8833;125.5167
21k;complete;NA;12745;11492;NA;NA;"NA";"GER";1973;M;40;1444;"02:03:55";"02:28:41";41;123.9167;148.6833
21k;complete;NA;3578;15934;NA;NA;"NA";"GER";1972;M;40;512;"01:42:37";"01:49:22";42;102.6167;109.3667
21k;complete;NA;12351;16232;NA;NA;"Me & Mam Lampertheim";"GER";1970;M;40;1415;"02:03:01";"02:23:35";44;123.0167;143.5833
21k;complete;NA;6519;4042;NA;NA;"NA";"GER";1964;M;50;691;"01:50:27";"01:55:22";50;110.45;115.3667
21k;complete;NA;9855;21070;NA;NA;"Mirow Runners";"GER";1972;M;40;1200;"01:57:47";"02:13:13";42;117.7833;133.2167
21k;complete;NA;16631;12144;NA;NA;"Z Czerwonaka Na MANHATTAN";"POL";1973;M;40;1697;"02:14:18";"02:46:29";41;134.3;166.4833
21k;complete;NA;1195;9491;NA;NA;"NA";"GER";1970;M;40;185;"01:32:11";"01:34:13";44;92.1833;94.2167
21k;complete;NA;20738;4235;NA;NA;"Best Friends";"GER";1971;M;40;1925;"02:33:30";"03:07:18";43;153.5;187.3
21k;complete;NA;3492;7466;NA;NA;"Spirit Stavanger Friidrettsklu";"NOR";1974;M;40;498;"01:42:22";"01:45:44";40;102.3667;105.7333
21k;complete;NA;11362;4769;NA;NA;"ADB Team";"POL";1972;M;40;1339;"02:00:39";"02:19:00";42;120.65;139
21k;complete;NA;431;5159;NA;NA;"Megacom group Estonia \/ Logmix";"EST";1963;M;50;21;"01:25:03";"01:25:29";51;85.05;85.4833
21k;complete;NA;7342;8246;NA;NA;"NA";"GER";1970;M;40;955;"01:52:35";"01:54:20";44;112.5833;114.3333
21k;complete;NA;4153;9373;NA;NA;"NA";"GER";1971;M;40;594;"01:44:29";"01:56:42";43;104.4833;116.7
21k;complete;NA;14215;9522;NA;NA;"NA";"GER";1970;M;40;1568;"02:07:31";"02:26:58";44;127.5167;146.9667
21k;complete;NA;10358;18143;NA;NA;"Tsv Rudow 1888";"GER";1973;M;40;1246;"01:58:49";"02:17:02";41;118.8167;137.0333
21k;complete;NA;739;19121;NA;NA;"NA";"POL";1973;M;40;109;"01:28:34";"01:29:42";41;88.5667;89.7
21k;complete;NA;14167;7417;NA;NA;"NA";"GER";1970;M;40;1566;"02:07:25";"02:22:35";44;127.4167;142.5833
21k;complete;NA;2405;6551;NA;NA;"NA";"GER";1972;M;40;344;"01:38:22";"01:58:00";42;98.3667;118
21k;complete;NA;8514;20658;NA;NA;"NA";"GER";1971;M;40;1073;"01:55:00";"02:15:39";43;115;135.65
21k;complete;NA;5960;14788;NA;NA;"NA";"GER";1970;M;40;808;"01:49:07";"02:02:54";44;109.1167;122.9
21k;complete;NA;3815;21459;NA;NA;"NA";"GER";1970;M;40;551;"01:43:25";"01:51:30";44;103.4167;111.5
21k;complete;NA;9535;5322;NA;NA;"Kegelsportverein Plauen 04 e.V";"GER";1963;M;50;988;"01:57:08";"02:12:37";51;117.1333;132.6167
21k;complete;NA;2188;11702;NA;NA;"Hannover 96";"GER";1973;M;40;319;"01:37:31";"01:43:56";41;97.5167;103.9333
21k;complete;NA;4711;20694;NA;NA;"Rfc Müritz";"GER";1972;M;40;671;"01:45:56";"01:54:21";42;105.9333;114.35
21k;complete;NA;1135;7019;NA;NA;"NA";"GER";1972;M;40;175;"01:31:45";"01:34:40";42;91.75;94.6667
21k;complete;NA;1425;20250;NA;NA;"NA";"GER";1970;M;40;227;"01:33:45";"01:35:55";44;93.75;95.9167
21k;complete;NA;9660;19354;NA;NA;"Keiner";"GER";1973;M;40;1176;"01:57:24";"02:11:38";41;117.4;131.6333
21k;complete;NA;318;1181;NA;NA;"NA";"SUI";1972;M;40;42;"01:23:27";"01:24:09";42;83.45;84.15
21k;complete;NA;9736;12210;NA;NA;"NA";"GER";1972;M;40;1182;"01:57:33";"02:10:07";42;117.55;130.1167
21k;complete;NA;1040;17912;NA;NA;"NA";"GER";1974;M;40;156;"01:30:52";"01:33:41";40;90.8667;93.6833
21k;complete;NA;21817;F376;NA;NA;"NA";"GER";1959;W;55;370;"02:47:36";"03:14:49";55;167.6;194.8167
21k;complete;NA;342;10564;NA;NA;"IF Linnéa";"SWE";1972;M;40;45;"01:23:42";"01:24:25";42;83.7;84.4167
21k;complete;NA;4940;9887;NA;NA;"NA";"GER";1972;M;40;690;"01:46:36";"01:51:47";42;106.6;111.7833
21k;complete;NA;5676;7483;NA;NA;"NA";"GER";1972;M;40;771;"01:48:26";"01:52:51";42;108.4333;112.85
21k;complete;NA;16693;12099;NA;NA;"NA";"GER";1973;M;40;1703;"02:14:31";"02:41:43";41;134.5167;161.7167
21k;complete;NA;11279;3739;NA;NA;"NA";"DEN";1964;M;50;1152;"02:00:28";"02:15:49";50;120.4667;135.8167
21k;complete;NA;22104;12787;NA;NA;"Lt Nauen-Falkensee";"GER";1971;M;40;1990;"02:59:10";"03:15:50";43;179.1667;195.8333
21k;complete;NA;564;16611;NA;NA;"Glanshammars If";"NED";1970;M;40;80;"01:26:49";"01:27:01";44;86.8167;87.0167
21k;complete;NA;2818;5589;NA;NA;"Man wird nicht jünger... LaufT";"GER";1973;M;40;402;"01:39:50";"01:42:46";41;99.8333;102.7667
21k;complete;NA;6856;4504;NA;NA;"NA";"GER";1970;M;40;899;"01:51:25";"01:59:22";44;111.4167;119.3667
21k;complete;NA;3897;5964;NA;NA;"Dharma Runners Berlin";"GER";1971;M;40;567;"01:43:42";"01:48:16";43;103.7;108.2667
21k;complete;NA;14071;3704;NA;NA;"NA";"COD";1972;M;40;1561;"02:07:10";"02:24:52";42;127.1667;144.8667
