race;interval;id;Rank;Bib;LastName;FirstName;Team;Nation;YOB;Sex;AgeClass;AcRank;NetTime;GunTime;Age;NetMins;GunMins
21k;complete;NA;1;9;NA;NA;"Kenia";"KEN";1984;M;H;1;"00:59:36";"00:59:36";29;59.6;59.6
21k;10K;NA;NA;9;NA;NA;"Kenia";"KEN";1984;M;H;NA;"00:28:23";"NA";29;28.3833;NA
21k;complete;NA;2;4;NA;NA;"Kenia";"KEN";1984;M;H;2;"01:00:12";"01:00:12";29;60.2;60.2
21k;10K;NA;NA;4;NA;NA;"Kenia";"KEN";1984;M;H;NA;"00:28:23";"NA";29;28.3833;NA
21k;complete;NA;3;3;NA;NA;"Kenia";"KEN";1987;M;H;3;"01:00:27";"01:00:27";26;60.45;60.45
21k;10K;NA;NA;3;NA;NA;"Kenia";"KEN";1987;M;H;NA;"00:28:23";"NA";26;28.3833;NA
21k;complete;NA;4;2;NA;NA;"Kenia";"KEN";1984;M;H;4;"01:00:45";"01:00:45";29;60.75;60.75
21k;10K;NA;NA;2;NA;NA;"Kenia";"KEN";1984;M;H;NA;"00:28:24";"NA";29;28.4;NA
21k;complete;NA;5;44;NA;NA;"NA";"KEN";1988;M;H;5;"01:01:37";"01:01:37";25;61.6167;61.6167
21k;10K;NA;NA;44;NA;NA;"NA";"KEN";1988;M;H;NA;"00:28:23";"NA";25;28.3833;NA
21k;complete;NA;6;6;NA;NA;"Kenia";"KEN";1987;M;H;6;"01:01:38";"01:01:38";26;61.6333;61.6333
21k;10K;NA;NA;6;NA;NA;"Kenia";"KEN";1987;M;H;NA;"00:29:04";"NA";26;29.0667;NA
21k;complete;NA;7;11;NA;NA;"Eritrea";"ERI";1987;M;H;7;"01:01:55";"01:01:55";26;61.9167;61.9167
21k;10K;NA;NA;11;NA;NA;"Eritrea";"ERI";1987;M;H;NA;"00:29:03";"NA";26;29.05;NA
21k;complete;NA;8;7;NA;NA;"Kenia";"KEN";1989;M;H;8;"01:02:28";"01:02:28";24;62.4667;62.4667
21k;10K;NA;NA;7;NA;NA;"Kenia";"KEN";1989;M;H;NA;"00:30:06";"NA";24;30.1;NA
21k;complete;NA;9;8;NA;NA;"Kenia";"KEN";1988;M;H;9;"01:03:13";"01:03:13";25;63.2167;63.2167
21k;10K;NA;NA;8;NA;NA;"Kenia";"KEN";1988;M;H;NA;"00:30:07";"NA";25;30.1167;NA
21k;complete;NA;10;10;NA;NA;"Kenia";"KEN";1990;M;H;10;"01:03:15";"01:03:15";23;63.25;63.25
21k;10K;NA;NA;10;NA;NA;"Kenia";"KEN";1990;M;H;NA;"00:30:06";"NA";23;30.1;NA
21k;complete;NA;11;15;NA;NA;"Kenia";"KEN";1990;M;H;11;"01:04:18";"01:04:18";23;64.3;64.3
21k;10K;NA;NA;15;NA;NA;"Kenia";"KEN";1990;M;H;NA;"00:30:09";"NA";23;30.15;NA
21k;complete;NA;12;16;NA;NA;"Dänemark";"DEN";1982;M;30;1;"01:05:10";"01:05:10";31;65.1667;65.1667
21k;10K;NA;NA;16;NA;NA;"Dänemark";"DEN";1982;M;30;NA;"00:30:57";"NA";31;30.95;NA
21k;complete;NA;13;19;NA;NA;"SG Spergau";"GER";1978;M;35;1;"01:05:46";"01:05:46";35;65.7667;65.7667
21k;10K;NA;NA;19;NA;NA;"SG Spergau";"GER";1978;M;35;NA;"00:31:08";"NA";35;31.1333;NA
21k;complete;NA;14;20;NA;NA;"TSV Ostheim";"GER";1988;M;H;12;"01:06:00";"01:06:00";25;66;66
21k;10K;NA;NA;20;NA;NA;"TSV Ostheim";"GER";1988;M;H;NA;"00:31:06";"NA";25;31.1;NA
21k;complete;NA;15;23;NA;NA;"Österreich";"AUT";1988;M;H;13;"01:06:01";"01:06:01";25;66.0167;66.0167
21k;10K;NA;NA;23;NA;NA;"Österreich";"AUT";1988;M;H;NA;"00:31:06";"NA";25;31.1;NA
21k;complete;NA;16;26;NA;NA;"NA";"LES";1980;M;30;2;"01:06:26";"01:06:26";33;66.4333;66.4333
21k;10K;NA;NA;26;NA;NA;"NA";"LES";1980;M;30;NA;"00:31:07";"NA";33;31.1167;NA
